state,district,city,property_type,beds,baths,size_sqft,furnishing,facing,age_years,price_inr,locality_key
Telangana,Jangaon,Jangaon,Independent House,5,4,2590,Unfurnished,North,1,10125000,Jangaon | Jangaon Town
Telangana,Siddipet,Siddipet,Apartment,2,2,988,Unfurnished,East,0,2350000,Siddipet | Doultabad
Telangana,Sangareddy,Hyderabad,Apartment,2,2,1012,Unfurnished,North,0,7075000,Sangareddy | Ameenpur
Telangana,Kumuram Bheem Asifabad,Asifabad,Residential Plot,0,0,2403,Not Applicable,East,0,1075000,Kumuram Bheem Asifabad | Rebbena
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,3600,Not Applicable,South,0,16825000,Rangareddy | Nadargul
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1276,Unfurnished,South-East,0,9450000,Hyderabad | Tolichowki
Telangana,Vikarabad,Vikarabad,Residential Plot,0,0,1350,Not Applicable,West,0,2450000,Vikarabad | Vikarabad Town
Telangana,Bhadradri Kothagudem,Kothagudem,Independent House,4,4,1936,Unfurnished,North,7,5400000,Bhadradri Kothagudem | Bhadrachalam
Telangana,Wanaparthy,Wanaparthy,Independent House,3,3,1848,Unfurnished,East,11,3150000,Wanaparthy | Kothakota
Telangana,Jangaon,Jangaon,Independent Builder Floor,2,3,915,Unfurnished,East,0,2675000,Jangaon | Jangaon Town
Telangana,Sangareddy,Sangareddy,Apartment,3,4,1441,Unfurnished,North,5,6550000,Sangareddy | Jinnaram
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram,Independent House,3,3,1659,Furnished,East,30,4425000,Parvathipuram Manyam | Parvathipuram Town
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram,Independent House,4,4,1697,Semi-Furnished,North,0,6300000,Parvathipuram Manyam | Parvathipuram Town
Andhra Pradesh,Anakapalli,Anakapalle,Villa,5,5,3269,Furnished,East,3,20900000,Anakapalli | Sabbavaram
Andhra Pradesh,Kurnool,Kurnool,Apartment,3,3,1477,Unfurnished,North-East,5,4350000,Kurnool | Nandyal Road
Andhra Pradesh,Eluru,Eluru,Independent House,2,1,1090,Unfurnished,North-East,2,3200000,Eluru | Jangareddygudem
Telangana,Sangareddy,Hyderabad,Residential Plot,0,0,1620,Not Applicable,South,0,7825000,Sangareddy | Ameenpur
Telangana,Yadadri Bhuvanagiri,Bhongir,Residential Plot,0,0,1350,Not Applicable,North-East,0,2550000,Yadadri Bhuvanagiri | Bhongir Town
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,3,1872,Unfurnished,South-East,0,13175000,Medchal Malkajgiri | AS Rao Nagar
Telangana,Karimnagar,Karimnagar,Apartment,2,2,923,Semi-Furnished,North,24,3900000,Karimnagar | Kashmirgadda
Telangana,Karimnagar,Karimnagar,Independent House,5,5,2059,Furnished,West,1,11725000,Karimnagar | Jyothinagar
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,5,5,2589,Unfurnished,North-East,30,5500000,East Godavari | Seethanagaram
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,2,2,802,Semi-Furnished,West,0,3500000,Visakhapatnam | Gopalapatnam
Andhra Pradesh,Kurnool,Kurnool,Residential Plot,0,0,2403,Not Applicable,North-East,0,2025000,Kurnool | Alur
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Independent House,6,5,2641,Furnished,North,11,6575000,Dr. B.R. Ambedkar Konaseema | Ramachandrapuram
Telangana,Hyderabad,Hyderabad,Apartment,2,2,1022,Unfurnished,North-East,0,10950000,Hyderabad | Himayatnagar
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,3,3,1148,Unfurnished,North-East,0,10475000,Visakhapatnam | Maddilapalem
Andhra Pradesh,Kurnool,Kurnool,Apartment,3,4,1613,Unfurnished,North-East,7,5575000,Kurnool | Adoni
Telangana,Hyderabad,Hyderabad,Apartment,3,2,1668,Unfurnished,East,14,15850000,Hyderabad | Yousufguda
Andhra Pradesh,Bapatla,Bapatla,Residential Plot,0,0,2700,Not Applicable,South-East,0,2650000,Bapatla | Martur
Andhra Pradesh,Markapuram,Markapuram,Independent House,2,2,1182,Semi-Furnished,North-East,0,1775000,Markapuram | Tarlupadu
Telangana,Peddapalli,Peddapalli,Independent House,5,4,2319,Semi-Furnished,East,2,10450000,Peddapalli | Peddapalli Town
Telangana,Peddapalli,Peddapalli,Apartment,3,2,1573,Unfurnished,West,0,2825000,Peddapalli | Dharmaram
Telangana,Nizamabad,Nizamabad,Independent House,3,3,1702,Unfurnished,South,8,5150000,Nizamabad | Dichpally
Telangana,Medak,Medak,Residential Plot,0,0,1503,Not Applicable,North,0,3100000,Medak | Medak Town
Telangana,Adilabad,Adilabad,Apartment,2,1,1400,Unfurnished,East,0,2900000,Adilabad | Jainad
Telangana,Jayashankar Bhupalpally,Bhupalpally,Residential Plot,0,0,2700,Not Applicable,South,0,4050000,Jayashankar Bhupalpally | Bhupalpally Town
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Residential Plot,0,0,1620,Not Applicable,South,0,3200000,Sri Potti Sriramulu Nellore | Pogathota
Andhra Pradesh,Annamayya,Madanapalle,Apartment,2,3,895,Unfurnished,North,0,2900000,Annamayya | Rayachoty
Andhra Pradesh,Kakinada,Kakinada,Independent House,5,6,2537,Semi-Furnished,South,17,11375000,Kakinada | Vidyut Nagar
Andhra Pradesh,NTR,Vijayawada,Independent Builder Floor,2,2,958,Unfurnished,East,0,10425000,NTR | Benz Circle
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Independent House,3,3,1513,Semi-Furnished,East,0,5775000,Sri Sathya Sai | Dharmavaram
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Residential Plot,0,0,1800,Not Applicable,East,0,10250000,Visakhapatnam | MVP Colony
Telangana,Nalgonda,Nalgonda,Independent Builder Floor,2,2,1008,Semi-Furnished,North-East,1,4125000,Nalgonda | Nalgonda Town
Andhra Pradesh,Tirupati,Tirupati,Independent House,3,3,1514,Semi-Furnished,South-East,4,4425000,Tirupati | Venkatagiri
Andhra Pradesh,Anantapur,Anantapur,Apartment,3,2,1286,Semi-Furnished,North-East,10,2850000,Anantapur | Kalyandurg
Telangana,Vikarabad,Vikarabad,Independent House,2,2,1386,Semi-Furnished,North-East,27,5025000,Vikarabad | Vikarabad Town
Telangana,Kamareddy,Kamareddy,Residential Plot,0,0,1998,Not Applicable,East,0,2275000,Kamareddy | Banswada
Telangana,Narayanpet,Narayanpet,Independent Builder Floor,3,3,1401,Semi-Furnished,North,3,4000000,Narayanpet | Narayanpet Town
Andhra Pradesh,Chittoor,Chittoor,Apartment,1,2,441,Unfurnished,East,1,950000,Chittoor | Puthalapattu
Telangana,Mulugu,Mulugu,Independent House,2,2,1072,Furnished,South,6,1375000,Mulugu | Venkatapur
Andhra Pradesh,Nandyal,Nandyal,Residential Plot,0,0,1350,Not Applicable,North,0,1150000,Nandyal | Panyam
Andhra Pradesh,Markapuram,Markapuram,Apartment,2,2,840,Semi-Furnished,North-East,8,1900000,Markapuram | Kanigiri
Telangana,Medchal Malkajgiri,Hyderabad,Independent Builder Floor,2,3,961,Semi-Furnished,North,4,7025000,Medchal Malkajgiri | Bachupally
Telangana,Mahabubnagar,Mahabubnagar,Independent House,3,3,1523,Semi-Furnished,North,8,3275000,Mahabubnagar | Koilkonda
Telangana,Narayanpet,Narayanpet,Villa,3,4,2143,Furnished,East,2,9075000,Narayanpet | Narayanpet Town
Andhra Pradesh,West Godavari,Bhimavaram,Independent House,3,2,1720,Furnished,North,10,6325000,West Godavari | Tanuku
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Independent House,3,3,1529,Furnished,West,0,4275000,Dr. B.R. Ambedkar Konaseema | Kothapeta
Telangana,Hanumakonda,Hanamkonda,Villa,4,4,2324,Unfurnished,North-East,0,17875000,Hanumakonda | Naimnagar
Andhra Pradesh,Annamayya,Madanapalle,Independent House,4,4,1802,Unfurnished,South,10,3700000,Annamayya | Kodur
Andhra Pradesh,Krishna,Vijayawada,Residential Plot,0,0,1197,Not Applicable,East,0,2575000,Krishna | Poranki
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,3,3,1835,Unfurnished,South,0,6550000,Visakhapatnam | Thagarapuvalasa
Telangana,Khammam,Khammam,Residential Plot,0,0,1350,Not Applicable,East,0,3300000,Khammam | Mamillagudem
Telangana,Warangal,Warangal,Villa,3,2,2080,Unfurnished,North,19,6400000,Warangal | Narsampet
Telangana,Medak,Medak,Independent House,2,1,1494,Semi-Furnished,South-East,3,2400000,Medak | Papannapet
Andhra Pradesh,Anantapur,Anantapur,Independent Builder Floor,3,2,1253,Unfurnished,North-East,1,2925000,Anantapur | Gooty
Telangana,Hyderabad,Hyderabad,Villa,3,3,2118,Unfurnished,East,23,18050000,Hyderabad | Tarnaka
Andhra Pradesh,Palnadu,Narasaraopet,Residential Plot,0,0,900,Not Applicable,North,0,1025000,Palnadu | Sattenapalle
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,2,1,1132,Semi-Furnished,East,2,7400000,Visakhapatnam | Gajuwaka
Telangana,Siddipet,Siddipet,Apartment,3,2,1556,Unfurnished,East,1,3225000,Siddipet | Cherial
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,2,1,949,Unfurnished,North-East,0,8475000,Medchal Malkajgiri | KPHB
Telangana,Hyderabad,Hyderabad,Apartment,2,3,970,Unfurnished,East,0,9025000,Hyderabad | Mehdipatnam
Telangana,Jagtial,Jagtial,Residential Plot,0,0,1998,Not Applicable,West,0,3575000,Jagtial | Jagtial Town
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,2,2,889,Unfurnished,North-East,17,6675000,Medchal Malkajgiri | Kukatpally
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Villa,4,3,3051,Unfurnished,North-East,1,45275000,Visakhapatnam | MVP Colony
Andhra Pradesh,Tirupati,Tirupati,Residential Plot,0,0,1197,Not Applicable,West,0,2025000,Tirupati | Srikalahasti
